,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,," $	3,906.85 "
,,,,,,,,,,,,,,,,,,,,
asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,product-size-tier,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee
B00J1F22EW,X000KK8NAF,Skin Stickers for Playstation 3 Controller - Vinyl Leather Texture Sticker for DualShock 3 Wireless Game Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],ONT2,US,5.98,4.02,0.98,inches,0.05,pounds,0.0136,cubic feet,Standard-Size,1,0,0.0136,2017-11,2.35,USD,0.032
B00J1F22EW,X000KK8NAF,Skin Stickers for Playstation 3 Controller - Vinyl Leather Texture Sticker for DualShock 3 Wireless Game Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],MKE1,US,5.98,4.02,0.98,inches,0.05,pounds,0.0136,cubic feet,Standard-Size,2,0,0.0272,2017-11,2.35,USD,0.0639
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,PHL7,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,48.17,0,1.3295,2017-11,2.35,USD,3.1243
B017SFOQPE,X00181XIZ5,Skins for PS4 Controller - Decals for Playstation 4 Games - Stickers Cover for PS4 Slim Sony Play Station Four Controllers PS4 Pro Accessories PS4 Remote Wireless Dualshock 4 Skin - Universe,LGA9,US,7.09,4.33,0.04,inches,0.02,pounds,7.00E-04,cubic feet,Standard-Size,0.27,0,2.00E-04,2017-11,2.35,USD,5.00E-04
B01M71S84I,X0018Q8HKB,K-Pop Kawaii Classic Stripes Mock Knee High Tattoo Tights Stockings for Women Girls,IND1,US,10,5.3,0.9,inches,0.15,pounds,0.0276,cubic feet,Standard-Size,0.17,0,0.0047,2017-11,2.35,USD,0.011
B00J1F22EW,X000KK8NAF,Skin Stickers for Playstation 3 Controller - Vinyl Leather Texture Sticker for DualShock 3 Wireless Game Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],JAX2,US,5.98,4.02,0.98,inches,0.05,pounds,0.0136,cubic feet,Standard-Size,1.13,0,0.0154,2017-11,2.35,USD,0.0362
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,SMF1,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,3,0,0.0078,2017-11,2.35,USD,0.0183
B00GXIW6W8,X000NONBW3,PS4 Designer Skin for Sony PlayStation 4 Console System plus Two(2) Decals for: PS4 Dualshock Controller - Big Ballin,FTW3,US,13.58,8.9,0.47,inches,0.2,pounds,0.0329,cubic feet,Standard-Size,1,0,0.0329,2017-11,2.35,USD,0.0773
B00J1F22EW,X000KK8NAF,Skin Stickers for Playstation 3 Controller - Vinyl Leather Texture Sticker for DualShock 3 Wireless Game Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],TPA1,US,5.98,4.02,0.98,inches,0.05,pounds,0.0136,cubic feet,Standard-Size,1,0,0.0136,2017-11,2.35,USD,0.032
B00GXIW6W8,X000NONBW3,PS4 Designer Skin for Sony PlayStation 4 Console System plus Two(2) Decals for: PS4 Dualshock Controller - Big Ballin,BWI2,US,13.58,8.9,0.47,inches,0.2,pounds,0.0329,cubic feet,Standard-Size,3.5,0,0.1152,2017-11,2.35,USD,0.2707
B01LYPWDDU,X00181YYHL,Large Scrunchies- Hair Accessories with Simulated crystal Velvet Scrunchy hair scrunchies for women Grey,OAK4,US,2.6,2.5,0.7,inches,0.01,pounds,0.0026,cubic feet,Standard-Size,5,0,0.013,2017-11,2.35,USD,0.0305
B01GPWG0T6,X0014FWWAH,Zodiac Necklace Plated Silver Pendant Constellation Necklace Astrology Choker - Capricorn,SDF8,US,3.2,2.2,1.2,inches,0.05,pounds,0.0049,cubic feet,Standard-Size,22.1,0,0.1083,2017-11,2.35,USD,0.2545
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],PHL7,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,12,0,0.0264,2017-11,2.35,USD,0.062
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],MKE1,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,0.9,0,0.002,2017-11,2.35,USD,0.0047
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],OAK4,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,1,0,0.0022,2017-11,2.35,USD,0.0052
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],EWR4,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,0.57,0,0.0013,2017-11,2.35,USD,0.0031
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],MGE1,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,8,0,0.0176,2017-11,2.35,USD,0.0414
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],BFI4,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,7,0,0.0154,2017-11,2.35,USD,0.0362
B00J1F22EW,X000KK8NAF,Skin Stickers for Playstation 3 Controller - Vinyl Leather Texture Sticker for DualShock 3 Wireless Game Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],IND1,US,5.98,4.02,0.98,inches,0.05,pounds,0.0136,cubic feet,Standard-Size,2,0,0.0272,2017-11,2.35,USD,0.0639
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],MDW4,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,2,0,0.0044,2017-11,2.35,USD,0.0103
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],CMH1,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,1.87,0,0.0041,2017-11,2.35,USD,0.0096
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],FTW3,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,1,0,0.0022,2017-11,2.35,USD,0.0052
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],TPA1,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,5,0,0.011,2017-11,2.35,USD,0.0259
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],MSP1,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,4,0,0.0088,2017-11,2.35,USD,0.0207
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],DFW7,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,2.93,0,0.0064,2017-11,2.35,USD,0.015
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],HOU2,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,2,0,0.0044,2017-11,2.35,USD,0.0103
B017HPHWQU,X000W1ZP2B,Skin Stickers for Playstation 3 Controller - Vinyl High Gloss Sticker for DualShock 3 Wireless Game PS3 Controllers - Protectors Controller Decal - Weeds Black [ Controller Not Included ],PHX6,US,7.09,4.49,0.12,inches,0.01,pounds,0.0022,cubic feet,Standard-Size,1,0,0.0022,2017-11,2.35,USD,0.0052
B017HPIWXM,X000W1ZOZ9,Skin Stickers for Playstation 3 Controller - Vinyl Leather Texture Sticker for DualShock 3 - Protectors Decal Wireless Game Controllers - Battle Torn Stripes [ Controller Not Included ],BFI4,US,6.3,4.3,0.1,inches,0.05,pounds,0.0016,cubic feet,Standard-Size,4.97,0,0.008,2017-11,2.35,USD,0.0188
