==================================
===      ebay-tqs      ===
==================================
==================================
===      Amazon-wsd      ===
==================================
		0.832
GREFRE-HM7-8-HOVER-T522		2.288
BIKBL-LV-GRE-NHW3-3-SPOT36		0.24960001
BFLY-AAA-3-NK007-767		0.624
GTAV-HM95-3-SOX17		2.08
RED1515-RU-95-NET-969		3.328
WEDBLK-HM82-1-COX166-HG3		0.312
SWRC753_001_300_YLBU_M		8.112
SWRC753_001_300_YLBU_L		8.112
AVP-HM78-6-SOP416		2.288
PCOCK-AAA-1-NK011-828		0.624
SCALE-BLUE-HX8-1-BAKET59		8.736
350CMBLU-ZX99-ICL86		0.0
BTLFLG1-HM6-2-C0P3-6LH		0.312
ROSEBLUE-HM2-8-YETI-10OZ35		1.248
BLUFIRE-HM1-8-S0P4-362		2.288
SWRC922_009_300_YLRF_S		9.36
WAVE-SEABLUE-HX2-0-BAKET23		8.736
SWRC922_009_300_YLRF_M		9.36
WOODGRN-HM1-2-C0P3-2LH		0.312
BIKBL-LV-SILV-NHW5-3-SPOT76		0.24960001
SWRC922_009_300_YLRF_L		9.36
PCOCK-AAA-3-ER008-186		0.624
12MCLR-RUSSE5-8MD8-ROP61		11.024
ME--FLAT-6M-RUES5-5-RP27		9.3392
TITAN-HM71-7-SOX188		2.08
SHAPE8-GLD-SRA8-8-3SETER90		2.808
BLACK-ZF2-8-P4BTN65-DPAD		1.56
BLWT-XGS6-7-HOVERSISK87		3.328
BLUE-XGS5-1-HOVERSISK12		3.328
LBLASTRPS-SAR6-LEGIN13		6.656
COD-HM89-2-SOP437		2.288
SWRC808_A07_04J_CMPP_S		14.352
DARKS-HM87-1-SOX317		2.08
CTLPNL-HM21-6-SOP489		2.08
GRN-P4CR-LC68-3-SHUP89		1.872
EAUFC-HM15-2-SOP476		2.288
LEGVG-HM35-0-SOX180		2.08
VAULTBOY-HMP1-8-LIGTBAR33		0.7488
UNIVER-HM1-0-C0P4-517		0.312
SWRC808_A07_04J_CMPP_L		14.352
DRAGONB-TSION0-1-LIGTBAR35		0.7488
ME--FLAT-15M-RUES2-8-RP11		17.950401
INDOOR-WJX7-0-PROJECTLGT79		18.304
SWRC808_A07_04J_CMPP_M		14.352
WOLF-HM66-5-SOP465		2.288
MONEY1-HM5-7-C0P3-0LH		0.312
EPT-PNK-HG2-3-SPTCVR15		1.7055999
X3-BLKGRN-BLKBLU-WSD		3.328
ORG-X3NM-LC82-9-SHLL51		1.768
BLK86GRN_X3_SiSK_70LC98		0.832
WARMW12INCH-RU-96-METE-690		5.824
VOD-HM38-6-SOP482		2.288
GRFIRE-HM7-3-S0SW91		1.664
MELT-HM25-8-SOP376		1.664
SMAN-HM5-3-C0X1-3LH		0.312
BIKLGT-SET001-NHW5-6-SPOT66		10.4
VATBOY-HM12-2-SPS403		2.288
WHITE30CM-RU-57-METE-578		5.824
BTLFLG-HM5-5-C0X199		0.312
9MWMW-RUSSE2-8MD6-ROP35		9.152
JUWD-HM59-6-SOP478		2.288
MBLASTRPS-SAR6-LEGIN21		6.656
BLACK-ZF5-6-P4BTN96-BUTN		1.248
STARWAR-HM15-7-SPS487		2.288
15MCLR-RUSSE8-8MD7-ROP97		13.52
WAVE-FLTGREN-HX3-8-BAKET63		8.736
NIKLGO-HM30-3-SPS480		2.288
HNDSPN-YELLOW-XL2-6-TOY37		3.12
PULAT-5CHN-S67-6-NKLC69		3.1615999
7-RUSL30-G-1NET-63151599BLUE		4.16
CODGO-HM83-6-SOP390		1.248
SKL-P4NM-LC91-1-SHUP33		3.12
GTA-HM26-8-SOP49		2.288
JOBTMAN-HM11-6-C0P486		0.312
GIRM-HM18-1-SOP416		2.288
ASCBF-HM67-0-SOX388		2.08
ME--FLAT-9M-RUES6-0-RP23		12.2096
DF-AAA-9-NK005-980		0.624
RAINBW-HM2-2-HOVER-T181		2.288
BIOHA-HM83-7-SOX187		2.08
LOGO-HM6-3-S0SW29		1.664
PNK-X3CR-LC53-0-SHLL59		1.768
GOLSCALE-SAR6-LEGIN32		2.392
RED89RED_PS3_SiSK_25LC55		0.832
PIFIRE-HM3-8-S0SW96		1.664
NIKLGO-HM30-3-SPS479		2.288
AUTO-HM88-8-SOP311		1.248
FLYLVN-HM3-2-C0P4-7HG		0.312
SLI-NIKELGO-HM3-7-PS4S86		2.3295999
VATBOY-HM16-0-C0P437		0.312
BLUFRE-HM2-6-HOVER-T573		2.288
MDYBLK-HM11-7-SOX131		2.08
WDTAK-HM6-1-SOX389		2.08
SWRC168_020_721_DLPP_L		10.192
SWRC168_020_721_DLPP_M		10.192
SWRC168_020_721_DLPP_S		10.192
SLI-SBLUEFIRE-HM7-6-PS4S57		2.3295999
SWRC881_015-701_RFBU_L		12.064
SWRC881_015-701_RFBU_M		12.064
PURPL-ZF6-6-P4BTN69-THUM		1.248
TR-XMA-21M-YYGY1-6-HME28		17.68
SWRC881_015-701_RFBU_S		12.064
CAM-P4NM-LC27-9-SHUP89		3.12
SWRC811_009_100_BLRF_M		9.36
SWRC811_009_100_BLRF_L		9.36
DIGIGRN-HM1-8-C0P3-7LH-WSD		0.312
WOLF-HM82-5-SOX186		2.08
DIABL-HM85-1-SOX385		2.08
CODMW-HM78-8-SOX362		2.08
SWRC881_800_3B_BKVBU_M		17.68
PURPPINK-HM8-0-YETI-10OZ56		1.248
BTLFLG1-HM5-7-C0P4-5HG		0.312
BCL-CHRO-GXCZ1-5-SPOT10		0.14559999
SWRC881_800_3B_BKVBU_S		17.68
FLGHORZ-HM52-8-COP485-HG9		0.312
DIGIRED-HM10-3-COX168-HG7		0.312
BLUE2030-RU-25-NET-569		4.576
SMAN-HM3-5-C0P4-6LH		0.312
BLUE1515-RU-19-GNET-689		4.576
BIKBL-BM-BLK-NHW6-2-SPOT32		3.536
SWRC881_800_3B_BKVBU_L		17.68
REBLK-HM2-1-C0P4-1HG		0.312
DRAGBALL-HM17-0-SPS432		2.288
CARBBLK-HM17-8-SOX162		2.08
BKGR-XGS7-1-HOVERSISK71		3.328
30IN-RED-YJM0-7-CRMBAG-HME21		2.8496
CAND-10PCS-HYX0-7-LD53		10.8368
2LYRVTBAR-BLK-S65-7-NKLC69		1.352
ASSASS-HM99-2-SOP413		2.288
FRFLAG-HM13-5-COP470-LH5		0.312
HALO-HM72-9-SOX150		2.08
PURPL-ZF2-7-P4BTN69-BUTN		1.248
LITWAV-HM6-3-HOVER-T196		2.288
STARWAR-HM13-9-C0X316		0.312
SWRC811_009_100_BLRF_S		9.36
WEED-HM88-0-SOP32		1.664
PINK1515-RU-05-GNET-038		4.576
SWRC776_001-710_ZBRD_M		10.816
SWRC776_001-710_ZBRD_L		10.816
TQBSET-AAA-2-NKERBRRG006-767		3.224
NBA-HM29-2-SOP481		2.288
EMOJI-HM2-6-HOVER-T526		2.288
BIKBL-SM-BLK-NHW8-8-SPOT67		2.912
SLV-P4CR-LC73-0-SHUP90		1.872
NBA-HM68-8-SOP380		1.248
SWRC776_001-710_ZBRD_S		10.816
BLID-10FT-SDQ6-1-SPOT22		5.096
BLKFLG-HM81-1-SOP472		2.288
NEBULA-HM16-1-HOVER03		2.184
SWRC997_015-700_FLBU_L		12.064
SWRC553_001-213_ROGR_S		9.984
SLV-X1CR-LC66-0-SHUP53		1.872
SWRC997_015-700_FLBU_M		12.064
DBL-HM18-6-SOP43		2.288
LEGSH-HM68-3-SOX38		2.08
OWL-AAA-8-NK003-213		0.624
SWRC997_015-700_FLBU_S		12.064
FRFLAG-HM31-2-SOX189		2.08
OWL-AAA-1-NK001-566		0.624
25IN-RED-YJM2-0-CRMBAG-HME17		2.4336
STARWAR-HM1-1-S0P4-600		2.288
METALGLD-S63-1-CHKR57		2.5895998
BTMAN-HM77-5-SPS411		2.288
TSMI-HM18-7-SOP486		2.288
STARS-HM8-6-HOVER-TRX259		2.288
1-RUSL86-G-1NET-01151586WARMW		4.16
CAMFLG-HM2-1-C0P4-7LH		0.312
FLYLVN-HM5-9-C0P3-2HG		0.312
GRN60BLU_X3_SiSK_28LC35		0.832
SKULRED-HM27-8-COX385-LH6		0.312
KZON-HM98-8-SOP496		2.288
2BSH-BLA-ROPE-PSTL-79SPRT		1.664
GHOS-HM15-2-COP315-LH2		0.312
METGOLD-SAR6-LEGIN11		2.496
SHERO-HM1-6-S0X158		2.08
LITWAV-HM2-6-HOVER-TRX218		2.288
CAMFLG-HM2-9-C0P4-0HG		0.312
BLU79WHT_X3_SiSK_19LC63		0.832
STARWAR-HM1-3-S0P4-729		2.288
GREN1515-RU-21-GNET-811		4.576
SWRC553_001-213_ROGR_L		9.984
HNDSPN-GREEN-XL2-6-TOY96		3.12
SWRC553_001-213_ROGR_M		9.984
METBLUE-SAR6-LEGIN31		2.496
PS3-BLKGRN-YLWRED-BLKRED-BLUWHT-WSD		3.328
SPIDERMAN-HM10-0-SPS426		2.288
TORN-HM89-9-SOP352		1.664
SLI-BLUFIRE-HM7-3-PS4S60		2.3295999
YFAN-HM78-1-SOP481		2.288
BLFIRE-HM6-5-S0SW87		1.664
BEAR-SAR6-LEGIN87		1.248
DARKSKUL-HM88-2-SOP498		2.288
32IN-PPL-FJY5-3-CRMBLL-HME16		3.12
SEL-BLU-HG0-6-SPTCVR32		3.328
DKSKULL-HM88-6-SOP466		2.288
BLUFR-HM11-2-SOP338		1.248
TQBSET-AAA-7-NKERBRRG003-915		3.224
PS4LOGO-TSION8-2-LIGTBAR01		0.7488
BRW87WHT_PS3_SiSK_93LC86		0.832
SUFRUDBOT-HM1-7-YETI-203061		1.248
JORDAR-TSION6-7-LIGTBAR85		0.7488
WATMELN-YJ3-7-KNIFE65		0.728
3MULTR-GLD-SRA7-3-NECL25		6.656
HALO4-HM15-0-C0X186		0.312
WARMW1515-RU-55-GNET-116		4.576
MONEY1-HM9-7-C0P4-5LH		0.312
SWRC683_017-701_RFPP_S		12.064
SWRC683_017-701_RFPP_L		12.064
SWRC683_017-701_RFPP_M		12.064
GREEN-LEAFZZ-8-TEA-218		0.5616
GTAV-HM80-3-SOX32		2.08
BIKESTD-BLK001-NHW8-5-SPOT12		2.08
PNK-X1CR-LC86-3-SHLL2		3.744
COLOR1515-RU-11-NET-337		3.328
WEDBLK-HM51-5-COX177-HG6		0.312
TRIA-CSTL-S66-8-ER73		1.0753601
DARKS-HM80-3-SOP311		1.248
DIGIPNK-HM81-3-COX192-LH3		0.312
WTNO-HM19-2-SOX376		2.08
RED1515-RU-95-GNET-969		4.576
BLU-PS3CR-ZF88-3-SHLL88		2.08
DIGIPNK-HM77-3-COP356-HG5		0.312
REDBLD-HM2-1-S0X161		2.08
GHOS-HM69-8-COX113-LH0		0.312
SWRC959_010_721_DLBU_L		11.232
SWRC959_010_721_DLBU_M		11.232
002GALAXY-HM3-1-SPS4-755		2.288
GREFRE-HM0-1-HOVER-T197		2.288
STARS-HM2-8-S0SW63		1.664
SWRC959_010_721_DLBU_S		11.232
FLGTREHUT-HM6-3-YETI-203068		1.248
WHT-X1NM-LC68-8-SHLL29		3.744
THIF-HM25-3-SOX165		2.08
ROSRD-ZF1-6-P4BTN96-DPAD		1.56
2LYRVTBAR-GRN-S65-0-NKLC70		1.352
BLK75GRN_PS3_SiSK_70LC76		0.832
BAFID-HM92-5-SOX17		2.08
ZELDA-HM8-2-S0SW55		1.664
5JSPGOLD-TOOTH-65JEW		2.496
BLUEXP-HM31-8-COX139-HG5		0.312
ASSASS-HM63-7-SOX12		2.08
CAMFLG-HM2-9-C0P3-0HG		0.312
CODBO-HM78-2-SOX382		2.08
SON-HM52-2-SOP488		2.288
X3-BLKGRN-BRWWHT-WSD		3.328
SLI-WEDBLK-HM8-8-PS4S68		2.3295999
NBA-HM21-2-SOP352		1.248
GRELEAF-SAR6-LEGIN33		3.536
KNEPAD-BL-JJSENB6-7-KNER66		9.36
WEDBLK2-HM1-0-C0P3-0HG		0.312
12MBLU-RUSSE6-8MD0-ROP95		11.024
SLI-DOODL-HM7-1-PS4S66		2.3295999
FLGSLNT-HM8-2-C0X3-5LH		0.312
P4LOGO-HM55-7-SPS435		2.288
REAP-HM77-0-SOP470		2.288
BTLFLG-HM57-2-COP381-LH3		0.312
LSTUS-HM66-3-SOP41		2.288
FUGOLDEN-HM1-7-SPS4-119		2.288
SKUNK-HM78-5-SOP312		1.664
WEDBLK-HM25-6-COP465-HG9		0.312
TCCP-LETTER-SRR8-2-LEIN10__L		0.0
CODT-HM68-8-SOP415		2.288
TCCP-LETTER-SRR8-2-LEIN10__M		0.0
RAINBOW-HM6-1-S0SW16		1.664
BKCAGE-CG-BLK-BDL3-7-SPOT12		1.664
DIGIPNK-HM57-9-COX135-HG8		0.312
TCCP-LETTER-SRR8-2-LEIN10__S		0.0
HALO4-HM16-1-C0X305		0.312
SLI-UNIVER-HM7-6-PS4S76		2.3295999
BATMAN-HM90-8-SOP469		2.288
FLYLVN-HM3-9-C0P4-7LH		0.312
WHITE-XGS2-3-HOVERSISK23		3.328
BATMAN-HM13-8-SPS496		2.288
PAINTS-HM2-8-C0P4-3LH		0.312
004GALAXY-HM6-6-SPS4-617		2.288
FLYPNK-HM96-0-COX323-HG7		0.312
BRIN-HM88-1-SOP426		2.288
EPT-BLU-HG7-1-SPTCVR56		1.7055999
ORG-PS4NM-LC59-9-SHLL88		3.744
PUNKMTL-GLD-S67-1-CHKR67		1.7784001
CODG-HM71-2-SOX158		2.08
GRN-X1CR-LC90-2-SHUP98		1.872
LAOUS-HM13-7-SOP398		1.248
BCL-BK-GXCZ2-6-SPOT62		0.14559999
OWLSET-AAA-6-NK004-568		1.248
BLUFRE-HM17-1-HOVER79		2.184
ZELDA-HM1-5-S0SW32		1.664
5-RUSL3671-2NET-79203083YELLW		4.16
BLULIT-HM17-5-HOVER05		2.184
FLGSLNT-HM9-2-C0P3-0LH		0.312
STARWAR-TSION3-6-LIGTBAR98		0.7488
PS3-BLKGRN-YLWRED-BLUWHT-BLKBLU-WSD		3.328
BTLFLG-HM53-2-COX312-HG7		0.312
OUTDOOR-BOL6-3-PROJECTLGT17		7.488
BLUEFIRE-HM92-5-SOX133		2.08
COD-HM23-5-SOP431		2.288
BLU07BLK_PS3_SiSK_83LC66		0.832
CALLOFD-HM1-6-S0P4-837		2.288
REDBLK-HM1-3-S0P4-920		2.288
GOW-HM86-2-SOX122		2.08
TQBSET-AAA-9-NKERBR004-003		3.224
MONEY-HM38-9-COX328-HG9		0.312
SKULL-AAA-2-NK010-539		0.624
BLUEFIRE-HM15-8-SOX173		2.08
36IN-WH-YJM6-1-CRMBAG-HME28		3.2656
MCFT-HM67-2-SOX189		2.08
WOODEN-HM1-1-S0P4-380		2.288
CODBO-HM23-5-SOP380		1.248
3PTCRST-GLD-SRA5-8-NECL68		4.888
WOODGRN-HM8-1-C0P4-5HG		0.312
MONEY1-HM5-6-C0P3-3HG		0.312
BLACK-ZF0-6-P4BTN36-THUM		1.248
LEGVG-HM60-8-SOP393		1.248
GLD-P4CR-LC87-3-SHUP93		1.872
SLI-BIOH-HM5-7-PS4S32		2.3295999
YELLW1515-RU-02-GNET-169		4.576
BRW15WHT_X3_SiSK_60LC68		0.832
HNDSPN-RED-XL3-7-TOY68		3.12
SUHEROES-HM11-2-C0P463		0.312
BLK56GRN_PS3_SiSK_72LC59		0.832
WOLF-HM88-6-SOP433		2.288
SLI-REVIL-HM5-2-PS4S13		2.3295999
DIGIRED-HM16-2-COP382-HG8		0.312
SWRC160_013_109_WHPP_L		7.904
SWRC160_013_109_WHPP_M		7.904
